protein,log2FC,p_value,mean_tumor,mean_normal,q_value,significant
MARF1,0.3694143123312331,4.6285196389214636e-07,0.28047827272727277,-0.08893603960396038,7.765175478584233e-07,False
MARK1,-1.268260816381638,1.0407836442120404e-07,-0.6877097272727272,0.580551089108911,1.8064219395723886e-07,True
MARK3,-0.22792760486048602,0.0002635198334769405,0.09092645454545455,0.3188540594059406,0.0003758494442508403,False
MARK4,-1.0311774518451844,0.000963402500546903,-0.6049408181818181,0.4262366336633663,0.0013156853033219936,True
MARS,1.2713146003600357,2.712703990433436e-39,0.5331528181818183,-0.7381617821782176,2.3371364885088067e-38,True
MARS2,-0.15466449954995495,0.32113977899339297,0.05487827272727274,0.2095427722772277,0.34947564184575114,False
MARVELD2,-1.5213217884788477,7.482290640236062e-16,-0.6041388181818181,0.9171829702970296,1.9478032847475716e-15,True
MASP1,-3.5074961467146717,3.821160640931206e-54,-1.4610599090909093,2.0464362376237624,8.664322916467766e-53,True
MASP2,-4.022643086408641,6.645552993968357e-50,-1.8732553636363634,2.1493877227722775,1.1000369555893892e-48,True
MAST2,0.1717525661566157,0.11019647552564632,0.21136009090909094,0.03960752475247525,0.12644976023173696,False
MAST3,-0.7225041665166517,7.663262172113073e-08,-0.22106990909090904,0.5014342574257427,1.3407899687498424e-07,True
MAST4,-0.8861941845184518,2.435088113625969e-17,-0.2468708181818182,0.6393233663366336,6.824824172834263e-17,True
MASTL,0.37689638253825386,0.01694342707370453,0.3002128181818182,-0.07668356435643567,0.02103002923489578,False
MAT2B,-0.10452340144014405,0.1257375286861486,0.27392372727272724,0.3784471287128713,0.14352390874542323,False
MATK,-1.3895637434743477,2.6378352462988497e-05,-1.2505635454545458,0.13900019801980198,4.0001231550705034e-05,True
MATN2,-1.662483887488749,2.6005757804699526e-14,-0.6642308181818183,0.9982530693069307,6.336165492691723e-14,True
MATR3,1.0135296408640864,1.1063213321228672e-44,0.47191736363636366,-0.5416122772277226,1.2863512102856138e-43,True
MAU2,-0.17876706480648064,0.052198900761633193,0.07101372727272727,0.2497807920792079,0.06197645605355106,False
MAVS,-0.18505044014401445,0.041151646869017455,0.03373827272727272,0.21878871287128718,0.04931378621788107,False
MAX,1.0231758334833483,8.472874142103207e-23,0.37621009090909097,-0.6469657425742574,3.119246300058512e-22,True
MAZ,-0.17417415751575158,0.22866413574818822,-0.02478445454545456,0.14938970297029702,0.2534340926334848,False
MB,-4.755104049504951,3.478448484785136e-18,-3.6907490000000007,1.0643550495049503,1.0126645085623332e-17,True
MB21D2,-0.12319532763276325,0.23841385957995284,0.0881864545454546,0.21138178217821785,0.26359725544941276,False
MBD1,0.21242247614761475,0.019298988221765154,0.20387554545454542,-0.008546930693069325,0.023829794536925387,False
MBD2,0.6033927461746174,5.444029889414026e-17,0.39380918181818175,-0.20958356435643566,1.5054666664063237e-16,True
MBD3,1.5112563195319533,1.232832952892855e-31,0.47818463636363634,-1.0330716831683169,7.076742855270712e-31,True
MBD4,1.0273959270927093,1.819825870032756e-12,0.36742681818181816,-0.6599691089108912,4.047543745417682e-12,True
MBIP,0.7649950324032403,5.4690605164656905e-12,0.2191946363636363,-0.545800396039604,1.1903249359366503e-11,True
MBL2,-3.074358792979298,2.6245505788636233e-20,-1.4956235454545455,1.5787352475247525,8.39891378673555e-20,True
MBLAC1,-0.11319408370837092,0.40236688659432335,0.31457027272727267,0.4277643564356436,0.43234965099385536,False
MBLAC2,-1.7100829783978397,1.6062593127417128e-37,-0.4718299090909091,1.2382530693069307,1.2558027354162482e-36,True
MBNL1,0.5191360585058507,7.331958755699989e-08,0.4005564545454546,-0.11857960396039605,1.2844719816830994e-07,True
MBNL1.1,-1.0057611872187218,2.001559749197251e-13,-0.29167445454545454,0.7140867326732672,4.660216918496819e-13,True
MBNL2,0.14473458235823583,0.26446750560336435,0.1266619090909091,-0.01807267326732673,0.29051862007936896,False
MBNL3,0.8813988217821782,4.108377937044303e-05,0.23894100000000004,-0.6424578217821781,6.162566905566456e-05,True
MBOAT2,1.6281486147614763,1.4526329864130618e-12,0.3227155454545455,-1.3054330693069307,3.2421871611641545e-12,True
MBOAT7,0.31664559045904594,0.025890847689372113,0.08728281818181816,-0.22936277227722776,0.03160941706647221,False
MBP,-0.43041330243024306,0.00046848418802725546,-0.0077562727272727445,0.4226570297029703,0.0006562215787099311,False
MBTD1,-0.01319913321332132,0.9149693313619441,0.10398027272727274,0.11717940594059406,0.9236777958101859,False
MBTPS1,1.0696801953195318,3.4862359232225916e-12,0.43468336363636356,-0.6349968316831683,7.65048462599606e-12,True
MCAM,-3.316687397839784,5.773284452031758e-50,-1.460958090909091,1.8557293069306935,9.634925415925728e-49,True
MCAT,-2.7079285589558957,5.7718103101327704e-24,-1.2571517272727273,1.4507768316831686,2.246135394232671e-23,True
MCC,-2.3704935994599463,7.657307034125124e-65,-0.7723662727272727,1.5981273267326734,3.9299275778364744e-63,True
MCCC1,-0.19759176327632766,0.20913564838233584,-0.11745354545454548,0.08013821782178218,0.23279021682110285,False
MCCC2,0.5612410450045006,0.000141792203481701,0.21187827272727278,-0.3493627722772278,0.0002058002697941794,True
MCEE,0.3546170306030603,0.01221099648378767,0.2898255454545455,-0.06479148514851485,0.015337654267662777,False
MCEMP1,-4.210551963096309,2.2381762285568453e-42,-2.056064636363636,2.1544873267326734,2.2585232851800894e-41,True
MCF2L,-1.7664857686768674,1.992237002759513e-33,-0.6087208181818181,1.1577649504950493,1.2511772650225205e-32,True
MCFD2,0.7471160405040504,6.720927880349194e-15,0.4428255454545455,-0.30429049504950495,1.6799679902019745e-14,True
MCL1,-0.34073787488748875,0.0005374762103187905,0.029352818181818178,0.3700906930693069,0.0007491236536287304,False
MCM2,2.5626131782178216,3.2241517238683264e-24,0.27049100000000004,-2.292122178217822,1.2691856641668884e-23,True
MCM3,2.896330819981998,9.496777134986998e-29,0.4396819090909091,-2.456648910891089,4.656201054472824e-28,True
MCM4,2.9741120441044098,1.0734844982995757e-26,0.3665037272727273,-2.6076083168316826,4.788543467648481e-26,True
MCM5,2.453306886588659,9.195440151289741e-23,0.30032827272727275,-2.1529786138613862,3.376141218623533e-22,True
MCM6,2.96730199909991,1.2947538940424842e-27,0.2906164545454545,-2.6766855445544553,6.0086148140639544e-27,True
MCM7,2.632404330333033,3.1206581387728435e-24,0.31257918181818184,-2.3198251485148513,1.2299670764956879e-23,True
MCMBP,-1.3206962457245723,1.717206634237823e-22,-0.5969699090909091,0.7237263366336633,6.213970633219961e-22,True
MCOLN1,-0.7632389639963997,6.013244581893267e-08,-0.2435371818181818,0.5197017821782178,1.0577194173346808e-07,True
MCRIP1,0.40854909180918086,8.747760242675002e-05,0.4257546363636363,0.01720554455445544,0.00012858965087246007,False
MCRIP2,2.2042508505850584,2.842199269364681e-16,0.2625704545454545,-1.9416803960396039,7.551248044908223e-16,True
MCRS1,0.5765178316831683,2.0803823017975477e-11,0.356361,-0.22015683168316832,4.4151466102622034e-11,True
MCTP2,1.3641546489648966,3.595958108929789e-15,0.5006922727272727,-0.8634623762376238,9.081221192551262e-15,True
MCTS1,1.44666504140414,1.5655937165900554e-44,0.6107200909090909,-0.8359449504950492,1.807153279149779e-43,True
MCU,1.3577294428442843,1.633857521726752e-12,0.4795973636363636,-0.8781320792079208,3.6390116431179595e-12,True
MCUB,0.8952118694869488,8.849300566603117e-07,0.0997479090909091,-0.7954639603960396,1.4632846563102956e-06,True
MCUR1,0.8576582457245725,9.220728301379262e-10,0.39045190909090904,-0.4672063366336634,1.7926898648669334e-09,True
MDC1,0.8186144653465346,6.238284667667958e-11,0.203521,-0.6150934653465345,1.2892545017873637e-10,True
MDH1,-0.5282186579657964,1.0509363013524459e-13,0.13824827272727275,0.6664669306930692,2.480771002153919e-13,True
MDH2,1.527649586858686,1.3149631513566996e-22,0.5157046363636363,-1.0119449504950495,4.791083298798113e-22,True
MDK,3.9369638352835272,6.824709864078661e-30,0.6307891818181817,-3.306174653465346,3.561983617413608e-29,True
MDM1,-2.2020698370837084,1.5550984250323315e-28,-0.9385662727272727,1.2635035643564358,7.570101767138519e-28,True
MDN1,0.34261937983798374,7.492361991500627e-06,0.19409918181818184,-0.14852019801980193,1.1757699748621566e-05,False
ME1,0.03459424032403244,0.8227933020479137,0.051214636363636386,0.01662039603960395,0.8383375879335451,False
ME2,0.6898911710171016,7.170556042472306e-08,0.33910463636363636,-0.3507865346534653,1.2568881377422077e-07,True
ME3,-0.8584202421242122,3.850701375760542e-08,-0.29691172727272724,0.561508514851485,6.852870121739399e-08,True
MEA1,1.2885924581458146,2.122451130376674e-21,0.5279346363636364,-0.7606578217821781,7.194928441255586e-21,True
MEAF6,-0.2398333474347434,0.004925277138009212,0.18234645454545453,0.42217980198019794,0.006374280851333506,False
MECOM,-0.013409027002700302,0.944102106044367,-0.11851536363636367,-0.10510633663366337,0.9494731041192085,False
